NACA 16-309
1.00024574 0.00086567
0.99949350 0.00116324
0.99746600 0.00190754
0.99410642 0.00305525
0.98941067 0.00456939
0.98338465 0.00641589
0.97604000 0.00856096
0.96739309 0.01096998
0.95746450 0.01360718
0.94627887 0.01643559
0.93386472 0.01941729
0.92025429 0.02251372
0.90548349 0.02568609
0.88959170 0.02889584
0.87262170 0.03210513
0.85461952 0.03527733
0.83563427 0.03837745
0.81571804 0.04137265
0.79492565 0.04423263
0.77331455 0.04692997
0.75094460 0.04944050
0.72787789 0.05174349
0.70417852 0.05382186
0.67991241 0.05566231
0.65514709 0.05725536
0.62995145 0.05859528
0.60439559 0.05968009
0.57855053 0.06051131
0.55248803 0.06109380
0.52628033 0.06143549
0.50000000 0.06154703
0.47371966 0.06143960
0.44751186 0.06111627
0.42144893 0.06058276
0.39560275 0.05984457
0.37004459 0.05890829
0.34484489 0.05778151
0.32007308 0.05647262
0.29579739 0.05499068
0.27208466 0.05334527
0.24900017 0.05154633
0.22660748 0.04960412
0.20496823 0.04752903
0.18414203 0.04533155
0.16418627 0.04302222
0.14515601 0.04061153
0.12710379 0.03810996
0.11007957 0.03552796
0.09413059 0.03287595
0.07930126 0.03016441
0.06563308 0.02740396
0.05316457 0.02460541
0.04193122 0.02177997
0.03196553 0.01893941
0.02329701 0.01609632
0.01595234 0.01326450
0.00995576 0.01045953
0.00532984 0.00769978
0.00209744 0.00500831
0.00028830 0.00241786
0.00000000 0.00000000
0.00108217 -0.00214678
0.00338066 -0.00410609
0.00698182 -0.00591062
0.01189664 -0.00758446
0.01812184 -0.00914530
0.02564648 -0.01060711
0.03445404 -0.01198139
0.04452332 -0.01327784
0.05582891 -0.01450471
0.06834152 -0.01566905
0.08202817 -0.01677679
0.09685241 -0.01783283
0.11277447 -0.01884111
0.12975139 -0.01980460
0.14773721 -0.02072534
0.16668312 -0.02160444
0.18653758 -0.02244215
0.20724652 -0.02323784
0.22875349 -0.02399012
0.25099983 -0.02469681
0.27392484 -0.02535511
0.29746597 -0.02596162
0.32155897 -0.02651252
0.34613812 -0.02700360
0.37113637 -0.02743050
0.39648556 -0.02778877
0.42211661 -0.02807405
0.44795967 -0.02828225
0.47394438 -0.02840968
0.50000000 -0.02845169
0.52605563 -0.02840557
0.55204044 -0.02825978
0.57788393 -0.02800260
0.60351610 -0.02762429
0.62886759 -0.02711750
0.65386991 -0.02647745
0.67845554 -0.02570221
0.70255812 -0.02479280
0.72611261 -0.02375333
0.74905540 -0.02259098
0.77132449 -0.02131597
0.79285961 -0.01994144
0.81360235 -0.01848324
0.83349633 -0.01695967
0.85248726 -0.01539113
0.87052313 -0.01379977
0.88755426 -0.01220899
0.90353351 -0.01064297
0.91841628 -0.00912609
0.93216069 -0.00768238
0.94472765 -0.00633489
0.95608096 -0.00510504
0.96618734 -0.00401196
0.97501651 -0.00307175
0.98254118 -0.00229669
0.98873693 -0.00169431
0.99358192 -0.00126608
0.99705590 -0.00100532
0.99913603 -0.00089216
0.99975426 -0.00086567

