NACA 64A-309
1.00000000 0.00000000
0.99718165 0.00110763
0.99295197 0.00194738
0.98751119 0.00285277
0.98088378 0.00387214
0.97309166 0.00503854
0.96415869 0.00638301
0.95411229 0.00794100
0.94298227 0.00974296
0.93079611 0.01178658
0.91758019 0.01404799
0.90336082 0.01648931
0.88816113 0.01903949
0.87201443 0.02167174
0.85496960 0.02444021
0.83707192 0.02736467
0.81834978 0.03034745
0.79883837 0.03331544
0.77857405 0.03618221
0.75761441 0.03899176
0.73601175 0.04174399
0.71381909 0.04443375
0.69108855 0.04703703
0.66787469 0.04953776
0.64423172 0.05190410
0.62021671 0.05411813
0.59588802 0.05616522
0.57130443 0.05802416
0.54652601 0.05967899
0.52161358 0.06111390
0.49662786 0.06229991
0.47163077 0.06321526
0.44668502 0.06384491
0.42185353 0.06416269
0.39719992 0.06412874
0.37278851 0.06373621
0.34868179 0.06303958
0.32493992 0.06208590
0.30162239 0.06089151
0.27878749 0.05947073
0.25649200 0.05784066
0.23479179 0.05601111
0.21374093 0.05399661
0.19339238 0.05180698
0.17379728 0.04945434
0.15500434 0.04695691
0.13705933 0.04433930
0.12000846 0.04160915
0.10389643 0.03877330
0.08876593 0.03584127
0.07465431 0.03284006
0.06159669 0.02979585
0.04963088 0.02671511
0.03879628 0.02359622
0.02912980 0.02044903
0.02067193 0.01727819
0.01347316 0.01407938
0.00760723 0.01083727
0.00322954 0.00749580
0.00061472 0.00409031
0.00016145 0.00111470
0.00071445 -0.00180411
0.00354848 -0.00495786
0.00836668 -0.00750758
0.01469320 -0.00952797
0.02230428 -0.01126470
0.03111899 -0.01282376
0.04109128 -0.01425496
0.05218497 -0.01558449
0.06436657 -0.01682636
0.07760145 -0.01800156
0.09185464 -0.01912230
0.10709122 -0.02017710
0.12327406 -0.02115220
0.14036279 -0.02205101
0.15831509 -0.02287881
0.17708687 -0.02363926
0.19663291 -0.02431800
0.21690581 -0.02490653
0.23785625 -0.02540180
0.25943331 -0.02580251
0.28158465 -0.02610204
0.30425649 -0.02629757
0.32739386 -0.02637876
0.35094052 -0.02633767
0.37483914 -0.02616265
0.39903096 -0.02581119
0.42345543 -0.02523360
0.44805226 -0.02444251
0.47276217 -0.02348111
0.49752585 -0.02237842
0.52228369 -0.02115159
0.54697669 -0.01982449
0.57154662 -0.01842792
0.59593495 -0.01697838
0.62008378 -0.01549369
0.64393604 -0.01399499
0.66743521 -0.01249920
0.69052571 -0.01102474
0.71315408 -0.00960748
0.73526684 -0.00826657
0.75681241 -0.00703409
0.77773964 -0.00593074
0.79799944 -0.00499477
0.81754467 -0.00429444
0.83632425 -0.00375976
0.85429043 -0.00332726
0.87139769 -0.00290848
0.88760486 -0.00250342
0.90287387 -0.00215044
0.91716725 -0.00181822
0.93045089 -0.00151908
0.94269350 -0.00128560
0.95386571 -0.00113642
0.96394023 -0.00106823
0.97289226 -0.00104638
0.98070009 -0.00103257
0.98734482 -0.00099330
0.99280972 -0.00089308
0.99707778 -0.00068100
1.00000000 -0.00000000
